match_id,player_id,time,type,scoring_team_id
300186463,271414,31',goal,43909
300186463,373400,34',goal,43927
300186463,373400,65',goal,43927
1230,174771,59',goal,43975
1230,59027,70',goal,43975
1230,55466,84',goal,43975
1660,174590,11',goal,44023
1660,174590,83',goal,44023
1660,25113,70',goal,44023
1660,57776,75',goal,44023
8768,170749,3',goal,43975
74,63524,81',goal,43924
300061506,229884,83',goal,43969
1119,58843,11',goal,43950
1119,59017,31',goal,43950
1119,59017,61',goal,43950
1119,59658,53',goal,43950
1119,49294,35',goal,43855
1119,49294,39',goal,43855
439,63627,62',goal,43924
3061,60145,21',goal,43876
3061,77319,43',goal,43876
3061,93859,55',goal,43876
2220,174426,6',goal,43960
2220,44559,35',penalty,43960
2220,44560,36',goal,43960
2220,44560,53',goal,43960
2220,59385,82',goal,43960
2220,55413,79',goal,43934
8787,155685,22',goal,43960
8787,174882,14',goal,43938
8787,155711,36',goal,43938
300331526,407125,90'+5',owngoal,43817
1637,174521,38',goal,44023
1637,57776,84',goal,44023
1637,49660,22',goal,43969
878,44573,1',goal,43942
878,44573,67',goal,43942
878,53649,83',goal,43942
878,58227,24',goal,43946
1764,63879,59',goal,43924
751,174840,22',penalty,43922
751,174395,54',goal,43922
300331530,270775,23',goal,43930
8729,95166,69',goal,43941
1158,45598,81',goal,43970
1158,45598,89',goal,43970
1158,45598,9',goal,43970
1158,59912,22',goal,43970
1158,59912,37',goal,43970
1158,59912,44',goal,43970
1158,52017,80',goal,43970
1158,55350,84',goal,43970
43950028,182590,86',goal,43901
43950028,179306,56',goal,43972
300186475,321722,12',penalty,43948
300186475,321722,45'+1,goal,43948
300186475,321722,78',goal,43948
300186475,311150,32',goal,43948
1676,47679,5',goal,44026
1676,56397,46',goal,44026
1676,174388,57',goal,43950
643,44001,62',goal,43822
643,51091,83',goal,43822
643,174342,17',goal,43954
643,174342,73',goal,43954
643,47704,82',owngoal,43954
300061510,267834,28',goal,43930
300061510,189259,51',goal,43930
300061510,321722,19',goal,43948
300061510,196791,56',goal,43948
300061510,196900,82',goal,43948
3098,77376,64',goal,43960
3098,44759,76',goal,43960
3098,63547,53',goal,43924
3098,96461,63',goal,43924
3098,63517,81',goal,43924
1949,174617,19',goal,43922
1949,174851,35',owngoal,43954
300061455,233703,77',goal,43922
300061455,180583,89',goal,43922
585,174345,4',goal,43930
585,174339,84',goal,44023
97410051,161454,60',goal,43942
43950004,182206,20',goal,43948
43950004,182206,25',goal,43948
43950004,182206,70',goal,43948
43950004,177667,40',goal,43948
43950004,168509,45'+1,goal,43948
43950004,155354,73',goal,43948
43950004,155334,84',goal,43948
43950004,164548,90'+1,goal,43948
1461,61571,56',goal,43924
1461,63869,73',goal,43924
1174,174474,35',goal,43954
1174,174474,6',goal,43954
1174,174862,16',goal,43954
1174,174862,82',goal,43954
1174,44693,8',goal,43950
1174,44605,70',goal,43950
511,55555,33',penalty,43941
511,174442,43',goal,43969
511,174442,57',goal,43969
511,174442,80',goal,43969
511,174442,89',penalty,43969
511,166547,68',penalty,43969
395,44707,6',goal,43922
395,44707,46',goal,43922
395,44585,18',goal,43922
395,55941,73',goal,43822
300186459,214876,52',goal,43901
300186459,299090,90'+1,goal,43949
680,174543,3',goal,43911
680,57097,85',goal,43928
97410006,184616,18',goal,43960
43950053,158471,8',goal,43921
43950053,175507,65',goal,43921
8752,78384,31',goal,43922
8752,78384,55',goal,43922
8752,75952,73',goal,43922
8752,75952,78',goal,43922
8752,75952,83',penalty,43922
1820,59342,45',goal,43911
1820,59342,46',goal,43911
1820,49563,58',goal,43911
1820,46274,83',goal,43911
1089,56077,40',goal,43928
1123,174761,11',goal,43954
97410010,177712,5',goal,43995
97410010,177823,36',goal,43995
97410010,177823,76',goal,43995
1709,39547,12',penalty,43963
1709,61699,89',goal,43963
1709,61638,43',goal,44026
43950045,156053,48',goal,43819
43950045,156055,75',goal,43819
1135,44610,18',goal,43954
1135,44610,29',goal,43954
1135,44610,64',goal,43954
1135,174825,20',goal,43954
1135,174825,69',goal,43954
1135,174537,63',goal,43954
1135,174761,90',goal,43954
1135,48676,57',goal,43921
300061480,184410,25',goal,44002
