id,home_id,home,home_code,away_id,away,away_code,h_score,a_score,date,stadium,round,world_cup,year,host
300186463,43909,Honduras,HON,43927,Ecuador,ECU,1,2,20 Jun 2014 - 19:00 Local time,Arena da Baixada,First stage - Group E,Brazil,2014 FIFA World Cup Brazil™,2014
1230,43975,Yugoslavia,YUG,43971,Switzerland,SUI,3,0,25 Jun 1950 - 15:00 Local time,Independencia,Group matches - Group 1,Brazil,1950 FIFA World Cup Brazil ™,1950
1660,44023,Germany FR,FRG,43930,Uruguay,URU,4,0,23 Jul 1966 - 15:00 Local time,Hillsborough,Quarter-finals,England,1966 FIFA World Cup England ™,1966
8768,43921,USA,USA,43975,Yugoslavia,YUG,0,1,25 Jun 1998 - 21:00 Local time,La Beaujoire,Group matches - Group F,France,1998 FIFA World Cup France ™,1998
74,43924,Brazil,BRA,43967,Scotland,SCO,1,0,20 Jun 1990 - 21:00 Local time,Stadio delle Alpi,Group matches - Group C,Italy,1990 FIFA World Cup Italy ™,1990
300061506,43928,Paraguay,PAR,43969,Spain,ESP,0,1,03 Jul 2010 - 20:30 Local time,Ellis Park Stadium,Quarter-finals,South Africa,2010 FIFA World Cup South Africa™,2010
1119,43950,Hungary,HUN,43855,Egypt,EGY,4,2,27 May 1934 - 16:30 Local time,Giorgio Ascarelli,Preliminary round,Italy,1934 FIFA World Cup Italy ™,1934
439,43969,Spain,ESP,43924,Brazil,BRA,0,1,01 Jun 1986 - 12:00 Local time,Jalisco,Group matches - Group D,Mexico,1986 FIFA World Cup Mexico ™,1986
3061,43876,Nigeria,NGA,43936,Bulgaria,BUL,3,0,21 Jun 1994 - 19:30 Local time,Cotton Bowl,Group matches - Group D,USA,1994 FIFA World Cup USA ™,1994
2220,43960,Netherlands,NED,43934,Austria,AUT,5,1,14 Jun 1978 - 13:45 Local time,Estadio Olímpico Chateau Carreras,Second round - Group A,Argentina,1978 FIFA World Cup Argentina ™,1978
8787,43960,Netherlands,NED,43938,Croatia,CRO,1,2,11 Jul 1998 - 21:00 Local time,Parc des Princes,Match for third place,France,1998 FIFA World Cup France ™,1998
1637,44023,Germany FR,FRG,43969,Spain,ESP,2,1,20 Jul 1966 - 19:30 Local time,Villa Park,Group matches - Group 2,England,1966 FIFA World Cup England ™,1966
878,43942,England,ENG,43946,France,FRA,3,1,16 Jun 1982 - 17:15 Local time,San Mames,Group matches - Group 4,Spain,1982 FIFA World Cup Spain ™,1982
1764,43924,Brazil,BRA,43942,England,ENG,1,0,07 Jun 1970 - 12:00 Local time,Jalisco,Group matches - Group 3,Mexico,1970 FIFA World Cup Mexico ™,1970
751,43922,Argentina,ARG,43904,El Salvador,SLV,2,0,23 Jun 1982 - 21:00 Local time,Jose Rico Perez,Group matches - Group 3,Spain,1982 FIFA World Cup Spain ™,1982
8729,43835,Saudi Arabia,KSA,43941,Denmark,DEN,0,1,12 Jun 1998 - 17:30 Local time,Stade Felix Bollaert,Group matches - Group C,France,1998 FIFA World Cup France ™,1998
1158,43970,Sweden,SWE,43902,Cuba,CUB,8,0,12 Jun 1938 - 17:00 Local time,Fort Carree,Quarter-finals,France,1938 FIFA World Cup France ™,1938
43950028,43901,Costa Rica,CRC,43972,Turkey,TUR,1,1,09 Jun 2002 - 18:00 Local time,Incheon Football Stadium,Group matches - Group C,Korea/Japan,2002 FIFA World Cup Korea/Japan ™,2002
300186475,43948,Germany,GER,43963,Portugal,POR,4,0,16 Jun 2014 - 13:00 Local time,Arena Fonte Nova,First stage - Group G,Brazil,2014 FIFA World Cup Brazil™,2014
1676,44026,Soviet Union,URS,43950,Hungary,HUN,2,1,23 Jul 1966 - 15:00 Local time,Roker Park Ground,Quarter-finals,England,1966 FIFA World Cup England ™,1966
643,43822,Korea Republic,KOR,43954,Italy,ITA,2,3,10 Jun 1986 - 12:00 Local time,Cuauhtemoc,Group matches - Group A,Mexico,1986 FIFA World Cup Mexico ™,1986
300061510,43930,Uruguay,URU,43948,Germany,GER,2,3,10 Jul 2010 - 20:30 Local time,Port Elizabeth Stadium,Match for third place,South Africa,2010 FIFA World Cup South Africa™,2010
3098,43960,Netherlands,NED,43924,Brazil,BRA,2,3,09 Jul 1994 - 14:30 Local time,Cotton Bowl,Quarter-finals,USA,1994 FIFA World Cup USA ™,1994
1949,43922,Argentina,ARG,43954,Italy,ITA,1,1,19 Jun 1974 - 19:30 Local time,Neckarstadion,Group matches - Group 4,Germany,1974 FIFA World Cup Germany ™,1974
3077,43953,Republic of Ireland,IRL,43961,Norway,NOR,0,0,28 Jun 1994 - 12:30 Local time,Giants Stadium,Group matches - Group E,USA,1994 FIFA World Cup USA ™,1994
300061455,43949,Greece,GRE,43922,Argentina,ARG,0,2,22 Jun 2010 - 20:30 Local time,Peter Mokaba Stadium,First stage - Group B,South Africa,2010 FIFA World Cup South Africa™,2010
585,43930,Uruguay,URU,44023,Germany FR,FRG,1,1,04 Jun 1986 - 12:00 Local time,Estadio Corregidora,Group matches - Group E,Mexico,1986 FIFA World Cup Mexico ™,1986
97410051,43942,England,ENG,43927,Ecuador,ECU,1,0,25 Jun 2006 - 17:00 Local time,Gottlieb-Daimler-Stadion,Round of 16,Germany,2006 FIFA World Cup Germany ™,2006
43950004,43948,Germany,GER,43835,Saudi Arabia,KSA,8,0,01 Jun 2002 - 20:30 Local time,Sapporo Dome,Group matches - Group E,Korea/Japan,2002 FIFA World Cup Korea/Japan ™,2002
1461,43924,Brazil,BRA,43911,Mexico,MEX,2,0,30 May 1962 - 15:00 Local time,Estadio Sausalito,Group matches - Group 3,Chile,1962 FIFA World Cup Chile ™,1962
1174,43954,Italy,ITA,43950,Hungary,HUN,4,2,19 Jun 1938 - 17:00 Local time,Stade Olympique,Final,France,1938 FIFA World Cup France ™,1938
511,43941,Denmark,DEN,43969,Spain,ESP,1,5,18 Jun 1986 - 16:00 Local time,Estadio Corregidora,Round of 16,Mexico,1986 FIFA World Cup Mexico ™,1986
1877,43954,Italy,ITA,43984,Israel,ISR,0,0,11 Jun 1970 - 16:00 Local time,Luis Dosal,Group matches - Group 2,Mexico,1970 FIFA World Cup Mexico ™,1970
395,43922,Argentina,ARG,43822,Korea Republic,KOR,3,1,02 Jun 1986 - 12:00 Local time,Estadio Olímpico Universitario,Group matches - Group A,Mexico,1986 FIFA World Cup Mexico ™,1986
