year,teamId,playerId,playerName,playerPosition,playerDOB
2006,43973,158389,Oleksandr SHOVKOVSKI,g,1975-01-02
2006,43973,178945,Andriy NESMACHNYI,d,1979-02-28
2006,43973,233263,Oleksandr IATSENKO,d,1985-02-24
2006,43973,178953,Anatoli Timoshchuk,m,1979-03-30
2006,43973,216224,Vladimir YEZERSKYI,d,1976-11-15
2006,43973,216223,Andriy RUSOL,d,1983-01-16
2006,43973,158386,Andriy SHEVCHENKO,f,1976-09-29
2006,43973,216233,Oleg SHELAYEV,m,1976-11-05
2006,43973,216220,Oleg Husyev,m,1983-04-25
2006,43973,216237,Andriy VORONIN,f,1979-07-21
2006,43973,158385,Serhiy REBROV,m,1974-06-03
2006,43973,253390,Andri PYATOV,g,1984-06-28
2006,43973,216722,Dmytro Chygrynskiy,d,1986-11-07
2006,43973,158368,Andriy GUSIN,m,1972-12-11
2006,43973,216753,Artem MILEVSKIY,f,1985-01-12
2006,43973,178957,Andriy VOROBEY,f,1978-11-29
2006,43973,166297,Vladyslav VASHCHUK,d,1975-01-02
2006,43973,216228,Sergi NAZARENKO,m,1980-02-16
2006,43973,216226,Maksym KALINICHENKO,m,1979-01-26
2006,43973,180849,Oleksiy BELIK,f,1981-02-15
2006,43973,216232,Ruslan Rotan,m,1981-10-29
2006,43973,229846,Vyacheslav SVIDERSKYI,d,1979-01-01
2006,43973,216714,Bohdan SHUST,g,1986-03-04
2002,43849,93224,Alioum BOUKAR,g,1972-01-03
2002,43849,178258,Bill TCHATO,d,1975-05-14
2002,43849,154649,Pierre WOME,d,1979-03-26
2002,43849,170657,Rigobert SONG,d,1976-07-01
2002,43849,130674,Raymond KALLA,d,1975-04-22
2002,43849,171398,Pierre NJANKA,d,1975-03-15
2002,43849,170656,Joseph NDO,f,1976-04-28
2002,43849,176652,GEREMI,d,1978-12-20
2002,43849,170667,Samuel ETOO,f,1981-03-10
2002,43849,154626,Patrick MBOMA,f,1970-11-15
2002,43849,3367,Pius NDIEFI,f,1975-07-05
2002,43849,171400,LAUREN,m,1977-01-19
2002,43849,159462,Lucien METTOMO,d,1977-04-19
2002,43849,162811,Joel EPALLE,m,1978-02-20
2002,43849,176982,Nicolas ALNOUDJI,m,1979-12-09
2002,43849,154644,Jacques SONGOO,g,1964-03-17
2002,43849,111332,Marc-Vivien FOE,m,1975-05-01
2002,43849,159566,Patrick SUFFO,f,1978-01-17
2002,43849,188241,Eric DJEMBA,f,1981-05-04
2002,43849,170668,Salomon OLEMBE,d,1980-12-08
2002,43849,170664,Joseph-Desire JOB,f,1977-12-01
2002,43849,178598,Carlos KAMENI,g,1984-02-18
2002,43849,178257,Daniel KOME,m,1980-05-19
1974,43925,59370,Leopoldo VALLEJOS,g,1944-07-16
1974,43925,49778,Rolando GARCIA,d,1942-12-15
1974,43925,56531,Alberto QUINTANO,d,1946-04-26
1974,43925,45774,Antonio ARIAS,d,1944-10-09
1974,43925,49415,Elias FIGUEROA,d,1946-10-25
1974,43925,57021,Juan RODRIGUEZ,d,1944-01-16
1974,43925,47407,Carlos CASZELY,f,1950-07-05
1974,43925,59329,Francisco VALDES,m,1943-03-19
1974,43925,174914,Sergio AHUMADA,f,1948-10-02
1974,43925,56790,Carlos REINOSO,m,1945-03-07
1974,43925,59542,Leonardo VELIZ,f,1945-09-03
1974,43925,53352,Juan MACHUCA,d,1951-03-07
1974,43925,69576,Rafael GONZALEZ,d,1950-04-24
1974,43925,52739,Alfonso LARA,m,1946-04-27
1974,43925,49704,Mario GALINDO,d,1951-08-10
1974,43925,55805,Guillermo PAEZ,m,1945-04-18
1974,43925,60133,Guillermo YAVAR,m,1943-03-26
1974,43925,58196,Jorge SOCIAS,m,1951-10-06
1974,43925,49264,Rogelio FARIAS,m,1949-08-13
1974,43925,47402,Osvaldo CASTRO,f,1947-04-14
1974,43925,55526,Juan OLIVARES,g,1941-02-20
1974,43925,55022,Adolfo NEF,g,1946-01-18
1966,43971,49029,Charly ELSENER,g,1934-08-13
1966,43971,69851,Willy ALLEMANN,d,1942-06-10
1966,43971,45524,Kurt AMBRUSTER,d,1934-09-16
1966,43971,46051,Heinz BAENI,m,1936-11-18
1966,43971,46966,Rene BRODMANN,d,1933-10-25
1966,43971,48805,Richard DUERR,m,1938-12-01
1966,43971,49640,Hans-Ruedi FUHRER,d,1937-12-24
1966,43971,50169,Vittore GOTTARDI,f,1941-09-24
1966,43971,50258,Andre GROBETY,d,1933-06-22
1966,43971,51015,Robert HOSP,f,1939-12-13
1966,43971,52561,Koebi KUHN,m,1943-10-12
1966,43971,48886,Leo EICHMANN,g,1936-12-24
1966,43971,52581,Fritz KUENZLI,f,1946-01-08
1966,43971,52916,Werner LEIMGRUBER,d,1934-09-02
1966,43971,174814,Karl ODERMATT,m,1942-12-17
1966,43971,56509,Rene-Pierre QUENTIN,f,1943-08-05
1966,43971,57684,Jean-Claude SCHINDELHOLZ,f,1940-10-11
1966,43971,57710,Heinz SCHNEITER,d,1935-04-12
1966,43971,58446,Xavier STIERLI,d,1940-10-29
1966,43971,58694,Ely TACCHELLA,d,1936-05-25
1966,43971,59733,Georges VUILLEUMIER,f,1944-09-21
1966,43971,56462,Mario PROSPERI,g,1945-08-04
1938,43924,46908,BRANDAO,m,1911-04-21
1938,43924,50787,HERCULES,f,1912-07-02
1938,43924,53156,LOPES,f,1910-11-01
1938,43924,56091,PERACIO,f,1917-11-02
1938,43924,56956,ROBERTO,f,1912-06-20
1938,43924,63825,PATESKO,f,1910-11-12
1938,43924,63827,MARTIM,m,1911-03-02
1938,43924,63829,LEONIDAS,f,1913-09-06
1938,43924,63830,WALTER GOULART,g,1912-06-17
1938,43924,63831,DOMINGOS DA GUIA,d,1912-11-19
1938,43924,63832,MACHADO,d,1909-01-01
1938,43924,63833,AFONSINHO,m,1914-03-08
1938,43924,63834,ZEZE PROCOPIO,m,1913-08-12
1938,43924,63835,LUISINHO,f,1911-03-29
1938,43924,63836,ROMEU,f,1911-03-26
1938,43924,63837,JAU,d,1909-12-07
1938,43924,63839,ARGEMIRO,m,1915-06-03
1938,43924,63840,TIM,f,1905-12-20
1938,43924,69613,BATATAIS,g,1910-05-20
1938,43924,69615,NIGINHO,f,1912-02-12
1938,43924,69616,NARIZ,d,1912-02-08
1938,43924,198712,BRITTO,m,1914-05-06
2014,43927,302630,Maximo BANGUERA,g,1985-12-16
2014,43927,181930,Jorge GUAGUA,d,1981-09-28
2014,43927,349578,Frickson ERAZO,d,1988-05-05
2014,43927,349576,Juan PAREDES,d,1987-07-08
2014,43927,336869,Alex IBARRA,m,1991-01-20
2014,43927,279417,Christian NOBOA,m,1985-04-08
