Country,Code,Population
Afghanistan,AFG,29824536
Albania,ALB,3162083
Algeria,DZA,38481705
American Samoa,ASM,55128
Andorra,ADO,78360
Angola,AGO,20820525
Antigua and Barbuda,ATG,89069
Argentina,ARG,41086927
Armenia,ARM,2969081
Aruba,ABW,102384
Australia,AUS,22722000
Austria,AUT,8429991
Azerbaijan,AZE,9295784
"Bahamas, The",BHS,371960
Bahrain,BHR,1317827
Bangladesh,BGD,154695368
Barbados,BRB,283221
Belarus,BLR,9464000
Belgium,BEL,11128246
Belize,BLZ,324060
Benin,BEN,10050702
Bermuda,BMU,64806
Bhutan,BTN,741822
Bolivia,BOL,10496285
Bosnia and Herzegovina,BIH,3833916
Botswana,BWA,2003910
Brazil,BRA,198656019
Brunei Darussalam,BRN,412238
Bulgaria,BGR,7305888
Burkina Faso,BFA,16460141
Burundi,BDI,9849569
Cabo Verde,CPV,494401
Cambodia,KHM,14864646
Cameroon,CMR,21699631
Canada,CAN,34754312
Cayman Islands,CYM,57570
Central African Republic,CAF,4525209
Chad,TCD,12448175
Channel Islands,CHI,161235
Chile,CHL,17464814
China,CHN,1350695000
Colombia,COL,47704427
Comoros,COM,717503
"Congo, Dem. Rep.",ZAR,65705093
"Congo, Rep.",COG,4337051
Costa Rica,CRI,4805295
Cote d'Ivoire,CIV,19839750
Croatia,HRV,4267600
Cuba,CUB,11270957
Curacao,CUW,152056
Cyprus,CYP,1128994
Czech Republic,CZE,10510785
Denmark,DNK,5591572
Djibouti,DJI,859652
Dominica,DMA,71684
Dominican Republic,DOM,10276621
Ecuador,ECU,15492264
"Egypt, Arab Rep.",EGY,80721874
El Salvador,SLV,6297394
Equatorial Guinea,GNQ,736296
Eritrea,ERI,6130922
Estonia,EST,1329301
Ethiopia,ETH,91728849
Faeroe Islands,FRO,49506
Fiji,FJI,874742
Finland,FIN,5413971
France,FRA,65696689
French Polynesia,PYF,273814
Gabon,GAB,1632572
"Gambia, The",GMB,1791225
Georgia,GEO,4490700
Germany,DEU,80425823
Ghana,GHA,25366462
Greece,GRC,11092771
Greenland,GRL,56810
Grenada,GRD,105483
Guam,GUM,162810
Guatemala,GTM,15082831
Guinea,GIN,11451273
Guinea-Bissau,GNB,1663558
