match_id,player,player_id,time,type
"1012","Antonin Panenka","174835",21,"penalty"
"1012","Faisal Al Dakhil","2204",57,"goal"
"102","Roger Milla","79318",106,"goal"
"102","Roger Milla","79318",108,"goal"
"102","Bernardo Redin","44555",115,"goal"
"102","Andre Kana-biyik","174649",44,"yellow"
"103","David Platt","174867",25,"goal"
"103","Emmanuel Kunde","174684",61,"penalty"
"103","Eugene Ekeke","174518",65,"goal"
"103","Gary Lineker","174708",83,"penalty"
"103","Gary Lineker","174708",105,"penalty"
"103","Benjamin Massing","174740",28,"yellow"
"1044","Norman Whiteside","44752",1,"yellow"
"1051","Kenny Dalglish","174486",18,"goal"
"1051","John Wark","59816",29,"goal"
"1051","John Wark","59816",32,"goal"
"1051","Steve Sumner","58575",54,"goal"
"1051","Steve Wooddin","60039",64,"goal"
"1051","John Robertson","181332",73,"goal"
"1051","Steve Archibald","45752",79,"goal"
"1054","Yuri Gavrilov","49828",24,"goal"
"1054","Oleg Blokhin","174409",48,"goal"
"1054","Sergei Baltacha","46145",68,"goal"
"1055","Wlodimierz Smolarek","44647",55,"goal"
"1055","Grzegorz Lato","174694",58,"goal"
"1055","Zbigniew Boniek","160825",61,"goal"
"1055","Andrzej Buncol","47055",68,"goal"
"1055","Wlodzimierz Ciolek","47789",76,"goal"
"1055","Guillermo La Rosa","52634",83,"goal"
"1055","Jose Velasquez","59530",31,"yellow"
"1058","Aleksandre Chivadze","47683",1,"yellow"
"1071","Joe Jordan","174645",15,"goal"
"1071","Aleksandre Chivadze","47683",59,"goal"
"1071","Ramaz Shengelia","57932",84,"goal"
"1071","Graeme Souness","44651",86,"goal"
"1071","Graeme Souness","44651",5,"yellow"
"108","Roger Milla","79318",76,"goal"
"108","Roger Milla","79318",86,"goal"
"108","Gavril Balint","174366",88,"goal"
"108","Jules Denis Onana","174822",20,"yellow"
"1084","Guillermo Stabile","61693",12,"goal"
"1084","Guillermo Stabile","61693",13,"goal"
"1084","Guillermo Subiabre","58531",15,"goal"
"1084","Mario Evaristo","49179",51,"goal"
"1085","Luis Monti","174777",81,"goal"
"1086","Guillermo Stabile","61693",8,"goal"
"1086","Adolfo Zumelzu","60407",12,"goal"
"1086","Guillermo Stabile","61693",17,"goal"
"1086","Manuel Rosas","57131",42,"penalty"
"1086","Francisco Varallo","44726",53,"goal"
"1086","Adolfo Zumelzu","60407",55,"goal"
"1086","Manuel Rosas","57131",65,"goal"
"1086","Roberto Gayon","49834",75,"goal"
"1086","Guillermo Stabile","61693",80,"goal"
"1087","Pablo Dorado","48687",12,"goal"
"1087","Carlos Peucelle","174854",20,"goal"
"1087","Guillermo Stabile","61693",37,"goal"
"1087","Pedro Cea","47419",57,"goal"
"1087","Victoriano Iriarte","51279",68,"goal"
"1087","Hector Castro","47398",89,"goal"
"1088","Luis Monti","174777",20,"goal"
"1088","Alejandro Scopelli","57749",56,"goal"
"1088","Guillermo Stabile","61693",69,"goal"
"1088","Carlos Peucelle","174854",80,"goal"
"1088","Carlos Peucelle","174854",85,"goal"
"1088","Guillermo Stabile","61693",87,"goal"
"1088","Jim Brown","46989",89,"goal"
"1089","Luis Vargas Pena","56077",40,"penalty"
"1090","Bart Mcghee","53957",23,"goal"
"1090","Tom Florie","49494",45,"goal"
"1090","Bert Patenaude","55992",69,"goal"
"1091","Moderato","59994",37,"goal"
"1091","Preguinho","63823",67,"goal"
"1091","Moderato","59994",73,"goal"
"1091","Preguinho","63823",83,"goal"
"1092","Ivica Bek","46364",60,"goal"
"1092","Blagoje Marjanovic","53657",65,"goal"
"1092","Ivica Bek","46364",67,"goal"
"1092","Djordje Vujadinovic","59734",85,"goal"
"1093","Aleksandar Tirnanic","61698",21,"goal"
"1093","Ivica Bek","46364",30,"goal"
"1093","Preguinho","63823",62,"goal"
"1094","Guillermo Subiabre","58531",65,"goal"
"1095","Carlos Vidal","59596",3,"goal"
"1095","Manuel Rosas","57131",51,"owngoal"
"1095","Carlos Vidal","59596",65,"goal"
"1096","Lucien Laurent","29657",19,"goal"
"1096","Marcel Langiller","52726",40,"goal"
"1096","Andre Maschinot","53765",43,"goal"
"1096","Juan Carreno","47331",70,"goal"
"1096","Andre Maschinot","53765",87,"goal"
"1097","Bert Patenaude","55992",10,"goal"
"1097","Bert Patenaude","55992",15,"goal"
"1097","Bert Patenaude","55992",50,"goal"
"1098","Adalbert Desu","48467",1,"goal"
