world_cup,id,home,away,h_score,a_score,match_number,new_match_number,date,time,stadium,attendance,phase,year,host
"2010 FIFA World Cup South Africa™","300061454","South Africa","Mexico","1","1","1","1","11/06/2010","","Johannesburg Soccer City Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061453","Uruguay","France","0","0","2","2","11/06/2010","","Cape Town Cape Town Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061452","South Africa","Uruguay","0","3","17","16","16/06/2010","","Tshwane/Pretoria Loftus Versfeld Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061451","France","Mexico","0","2","18","20","17/06/2010","","Polokwane Peter Mokaba Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061450","Mexico","Uruguay","0","1","33","36","22/06/2010","","Rustenburg Royal Bafokeng Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061449","France","South Africa","1","2","34","35","22/06/2010","","Mangaung/Bloemfontein Free State Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061460","Argentina","Nigeria","1","0","3","5","12/06/2010","","Johannesburg Ellis Park Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061459","Korea Republic","Greece","2","0","4","3","12/06/2010","","Nelson Mandela Bay/Port Elizabeth Port Elizabeth Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061457","Greece","Nigeria","2","1","19","19","17/06/2010","","Mangaung/Bloemfontein Free State Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061458","Argentina","Korea Republic","4","1","20","18","17/06/2010","","Johannesburg Soccer City Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300111115","Nigeria","Korea Republic","2","2","35","34","22/06/2010","","Durban Durban Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061455","Greece","Argentina","0","2","36","33","22/06/2010","","Polokwane Peter Mokaba Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061466","England","USA","1","1","5","4","12/06/2010","","Rustenburg Royal Bafokeng Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061465","Algeria","Slovenia","0","1","6","6","13/06/2010","","Polokwane Peter Mokaba Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061463","Slovenia","USA","2","2","22","22","18/06/2010","","Johannesburg Ellis Park Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061464","England","Algeria","0","0","23","23","18/06/2010","","Cape Town Cape Town Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061462","Slovenia","England","0","1","37","40","23/06/2010","","Nelson Mandela Bay/Port Elizabeth Port Elizabeth Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061461","USA","Algeria","1","0","38","37","23/06/2010","","Tshwane/Pretoria Loftus Versfeld Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300111116","Germany","Australia","4","0","7","7","13/06/2010","","Durban Durban Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061471","Serbia","Ghana","0","1","8","8","13/06/2010","","Tshwane/Pretoria Loftus Versfeld Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061470","Germany","Serbia","0","1","21","21","18/06/2010","","Nelson Mandela Bay/Port Elizabeth Port Elizabeth Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061469","Ghana","Australia","1","1","24","26","19/06/2010","","Rustenburg Royal Bafokeng Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061468","Ghana","Germany","0","1","39","38","23/06/2010","","Johannesburg Soccer City Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061467","Australia","Serbia","2","1","40","39","23/06/2010","","Nelspruit Mbombela Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061478","Netherlands","Denmark","2","0","9","9","14/06/2010","","Johannesburg Soccer City Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061477","Japan","Cameroon","1","0","10","10","14/06/2010","","Mangaung/Bloemfontein Free State Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300111117","Netherlands","Japan","1","0","25","25","19/06/2010","","Durban Durban Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061475","Cameroon","Denmark","1","2","26","24","19/06/2010","","Tshwane/Pretoria Loftus Versfeld Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061474","Denmark","Japan","1","3","43","42","24/06/2010","","Rustenburg Royal Bafokeng Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061473","Cameroon","Netherlands","1","2","44","44","24/06/2010","","Cape Town Cape Town Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061484","Italy","Paraguay","1","1","11","11","14/06/2010","","Cape Town Cape Town Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061483","New Zealand","Slovakia","1","1","12","13","15/06/2010","","Rustenburg Royal Bafokeng Stadium","","Group matches",2010,"South Africa"
"2010 FIFA World Cup South Africa™","300061481","Slovakia","Paraguay","0","2","27","27","20/06/2010","","Mangaung/Bloemfontein Free State Stadium","","Group matches",2010,"South Africa"
